purchase_id,category,price,purchase_datetime,hour_of_day,day_of_week,is_weekend,is_late_night,time_on_page_seconds,is_impulse_buy,num_page_visits,was_on_sale,outcome,days_until_return,regret_probability
PUR-191161,clothing,24.0,2025-07-11 09:40:57,9,Friday,False,False,157,False,2,False,kept,,0.319
PUR-835392,sports,36.92,2025-10-12 10:40:57,10,Sunday,True,False,532,False,1,False,kept,,0.314
PUR-325772,sports,107.67,2025-01-31 08:03:57,8,Friday,False,False,21,True,3,False,returned,5.0,0.556
PUR-865179,beauty,25.73,2025-05-18 13:32:57,13,Sunday,True,False,882,False,6,False,kept,,0.26
PUR-148050,toys,85.07,2025-05-19 14:19:57,14,Monday,False,False,315,False,6,False,kept,,0.139
PUR-482554,books,40.92,2025-10-19 08:59:57,8,Sunday,True,False,118,True,7,True,kept,,0.246
PUR-271339,electronics,327.64,2025-08-12 19:37:57,19,Tuesday,False,False,733,False,2,False,returned,8.0,0.266
PUR-340174,toys,63.12,2025-01-04 18:19:57,18,Saturday,True,False,239,False,6,False,kept,,0.195
PUR-581141,shoes,207.11,2025-05-07 08:50:57,8,Wednesday,False,False,231,False,6,True,returned,21.0,0.829
PUR-711878,electronics,248.66,2025-07-24 17:19:57,17,Thursday,False,False,566,False,5,False,kept,,0.228
PUR-930555,sports,160.75,2025-09-19 00:23:57,0,Friday,False,True,108,True,1,False,returned,6.0,0.85
PUR-112038,sports,248.65,2025-05-15 04:16:57,4,Thursday,False,False,494,False,5,False,kept,,0.319
PUR-103402,clothing,129.07,2025-02-27 08:05:57,8,Thursday,False,False,671,False,6,True,returned,15.0,0.552
PUR-260263,home_goods,291.99,2025-08-28 23:56:57,23,Thursday,False,True,123,False,5,False,returned,7.0,0.713
PUR-972064,beauty,95.06,2025-02-24 23:56:57,23,Monday,False,True,15,True,6,False,returned,12.0,0.85
PUR-658582,home_goods,83.24,2025-07-27 22:49:57,22,Sunday,True,True,102,True,8,False,kept,,0.85
PUR-891952,electronics,146.29,2025-03-29 23:44:57,23,Saturday,True,True,286,False,7,False,kept,,0.515
PUR-359947,books,38.52,2025-05-07 19:13:57,19,Wednesday,False,False,397,False,8,False,kept,,0.045
PUR-161733,books,12.56,2025-11-17 22:19:57,22,Monday,False,True,250,False,4,True,kept,,0.233
PUR-665427,books,12.7,2025-11-12 06:50:57,6,Wednesday,False,False,541,False,4,True,kept,,0.093
PUR-790993,electronics,592.51,2025-02-08 22:24:57,22,Saturday,True,True,263,False,8,False,returned,4.0,0.782
PUR-203198,sports,157.86,2025-05-02 01:59:57,1,Friday,False,True,761,False,1,False,kept,,0.7
PUR-392075,shoes,118.58,2025-06-08 13:39:57,13,Sunday,True,False,211,False,4,False,returned,6.0,0.54
PUR-976638,toys,44.97,2025-10-21 02:03:57,2,Tuesday,False,True,897,False,2,True,kept,,0.581
PUR-272634,shoes,243.18,2025-07-30 11:28:57,11,Wednesday,False,False,512,False,8,True,returned,2.0,0.748
PUR-865990,sports,25.81,2025-05-13 07:55:57,7,Tuesday,False,False,817,False,8,True,kept,,0.266
PUR-599948,toys,31.67,2025-06-30 10:51:57,10,Monday,False,False,608,False,1,False,returned,19.0,0.144
PUR-346629,electronics,92.66,2025-03-13 14:00:57,14,Thursday,False,False,205,False,2,False,kept,,0.19
PUR-712024,sports,69.96,2025-02-10 09:17:57,9,Monday,False,False,623,False,1,False,kept,,0.28
PUR-414569,beauty,113.14,2025-08-15 19:09:57,19,Friday,False,False,336,False,4,True,returned,21.0,0.437
PUR-238890,toys,54.26,2025-10-22 16:25:57,16,Wednesday,False,False,651,False,2,True,returned,9.0,0.291
PUR-741390,beauty,107.49,2025-07-26 05:36:57,5,Saturday,True,False,176,False,8,False,kept,,0.293
PUR-212235,shoes,176.93,2025-02-18 06:55:57,6,Tuesday,False,False,694,False,2,False,returned,4.0,0.427
PUR-629959,electronics,254.26,2025-01-23 10:09:57,10,Thursday,False,False,366,False,4,False,kept,,0.24
PUR-237174,toys,45.16,2025-11-02 14:14:57,14,Sunday,True,False,448,False,5,True,kept,,0.279
PUR-824586,home_goods,61.05,2025-04-15 23:09:57,23,Tuesday,False,True,452,False,1,True,kept,,0.85
PUR-475190,electronics,459.19,2025-05-22 22:19:57,22,Thursday,False,True,166,False,7,True,returned,2.0,0.85
PUR-348237,books,37.28,2024-12-22 13:32:57,13,Sunday,True,False,813,False,7,False,kept,,0.066
PUR-802448,electronics,782.15,2025-08-30 03:53:57,3,Saturday,True,False,198,False,6,False,kept,,0.347
PUR-582662,books,20.67,2024-12-04 13:30:57,13,Wednesday,False,False,54,True,8,True,kept,,0.167
PUR-172792,beauty,47.05,2025-08-04 09:53:57,9,Monday,False,False,690,False,4,False,kept,,0.206
PUR-287241,home_goods,115.08,2025-03-13 04:11:57,4,Thursday,False,False,878,False,6,False,returned,9.0,0.193
PUR-221263,home_goods,25.9,2025-01-27 03:32:57,3,Monday,False,False,761,False,6,False,kept,,0.155
PUR-664607,sports,362.31,2025-08-23 08:52:57,8,Saturday,True,False,740,False,7,True,kept,,0.686
PUR-414910,books,24.57,2025-10-23 18:56:57,18,Thursday,False,False,353,False,6,False,kept,,0.05
PUR-810219,home_goods,205.06,2025-06-14 04:10:57,4,Saturday,True,False,317,False,3,True,returned,13.0,0.752
PUR-736130,electronics,511.64,2025-06-27 04:19:57,4,Friday,False,False,868,False,1,True,returned,19.0,0.544
PUR-871711,beauty,63.82,2025-04-15 19:41:57,19,Tuesday,False,False,538,False,8,False,kept,,0.21
PUR-346277,electronics,544.14,2025-07-06 00:12:57,0,Sunday,True,True,663,False,6,True,kept,,0.85
PUR-905819,home_goods,79.02,2025-08-19 12:53:57,12,Tuesday,False,False,62,True,4,False,kept,,0.472
